horizon,size_bucket,label,rows,school_count,mae,median_ae,p95_ae,rmse,wape,bias,mean_error,top100_mean_abs_error,top100_median_abs_error,abs_error_1000_count,actual_base_ratio_3_count,base_le_300_actual_ge_1000_count,level_r2,delta_r2,model_label,filter_version
1,301_to_700,old_R3_tuned_final_p1_only,15662,4528,17.085871186574593,12.933043078656567,46.46443060032575,23.680299928044256,0.03586626420035482,0.6957133106302129,0.6957133106302129,116.30041520581355,110.90802209145693,0,0,0,0.9574175407321595,0.44455930619789186,old_R3_tuned_final,p1_only
1,61_to_300,old_R3_tuned_final_p1_only,9970,3031,9.559299555808584,7.121338470262003,26.00064587831614,13.414104707481082,0.058109046781994064,1.3506716932429268,1.3506716932429268,62.00964179426187,58.43924227043257,0,0,0,0.9671267249898752,0.36499729461542196,old_R3_tuned_final,p1_only
1,701_to_1000,old_R3_tuned_final_p1_only,5538,1840,23.621821590279424,18.41646353158768,62.02742777385475,32.017216137285004,0.029323664696171706,-1.466458147375286,-1.466458147375286,117.76826093238658,108.98131225567022,0,0,0,0.8839865216869313,0.46844680952548,old_R3_tuned_final,p1_only
1,over_1000,old_R3_tuned_final_p1_only,1827,590,29.19277469065718,23.38493837291037,76.26792008543877,38.6546420722382,0.02577288122185793,1.3850226364698246,1.3850226364698246,99.03100273358321,88.77586230510167,0,0,0,0.9385356908447539,0.460932273680282,old_R3_tuned_final,p1_only
1,up_to_60,old_R3_tuned_final_p1_only,8172,2272,3.779771210032573,2.9374477949480724,10.194678597984362,5.107730530704368,0.12375215477842845,0.35388433523679025,0.35388433523679025,18.892972855586223,17.14181605468684,0,9,0,0.8834041183954906,0.1401188208504648,old_R3_tuned_final,p1_only
2,301_to_700,old_R3_tuned_final_p1_only,15559,4501,31.027636489969925,23.984432991200777,83.2135373855493,41.93914800804747,0.06659678966655627,0.3729460525495682,0.3729460525495682,182.9692993960951,172.46013871791462,0,0,0,0.8784733559931703,0.36879177779272065,old_R3_tuned_final,p1_only
2,61_to_300,old_R3_tuned_final_p1_only,9696,2905,16.065781512427982,11.755183192546617,44.503186839748004,22.62087096429172,0.10218837805066962,1.4945693861718872,1.4945693861718872,101.1534932684404,95.26404353262309,0,0,0,0.9099568412973537,0.2924410873708423,old_R3_tuned_final,p1_only
2,701_to_1000,old_R3_tuned_final_p1_only,5857,1951,44.69674718549336,35.63135719133584,116.76393514534902,58.427562480811176,0.056874886922223776,-4.987558058602936,-4.987558058602936,188.61055391856775,172.49215518931794,0,0,0,0.7199584299790183,0.3864527569620665,old_R3_tuned_final,p1_only
2,over_1000,old_R3_tuned_final_p1_only,1997,650,53.20459165832326,43.623629964167094,133.84664119155215,67.93179064360007,0.04814406463595533,0.16481437319691433,0.16481437319691433,169.37253414746712,156.6042895652879,0,0,0,0.8367478253416867,0.4265233892894482,old_R3_tuned_final,p1_only
2,up_to_60,old_R3_tuned_final_p1_only,7890,2183,5.841381829909599,4.466542033880451,15.452087928854574,7.899395746675842,0.19326912893128945,-0.42204633236433486,-0.42204633236433486,30.425136897718218,27.992277101134526,0,16,0,0.7317400553428051,0.039435051737369164,old_R3_tuned_final,p1_only
