horizon,size_bucket,label,rows,school_count,mae,median_ae,p95_ae,rmse,wape,bias,mean_error,top100_mean_abs_error,top100_median_abs_error,abs_error_1000_count,actual_base_ratio_3_count,base_le_300_actual_ge_1000_count,level_r2,delta_r2
1,301_to_700,new_R5_full_no_sampling_optuna_tuned,15662,4528,16.89276189298014,12.738884336912605,46.048112450443455,23.508857220626048,0.0354608936536633,1.4208781803741313,1.4208781803741313,117.41714384637214,111.9930091180403,0,0,0,0.958031893160257,0.4525728485054228
1,61_to_300,new_R5_full_no_sampling_optuna_tuned,9970,3031,9.458360937879089,7.098955393958079,25.588635649691366,13.21742964971244,0.05749546135796467,1.9574793642690458,1.9574793642690458,60.41247778684503,54.45747475841017,0,0,0,0.9680836217057255,0.3834813672595808
1,701_to_1000,new_R5_full_no_sampling_optuna_tuned,5538,1840,22.86233842093993,17.77310314497828,60.06272888319006,31.31510644901533,0.028380857228297942,-1.0143921582607394,-1.0143921582607394,117.62300059783371,106.74327394288974,0,0,0,0.8890188815915261,0.49150419045914095
1,over_1000,new_R5_full_no_sampling_optuna_tuned,1827,590,27.777353171606624,21.108157266945227,74.2762195722419,37.35191108411529,0.024523274390170678,-0.19025150237053673,-0.19025150237053673,96.01211980370563,86.34988082367784,0,0,0,0.9426087946087661,0.49665509909404426
1,up_to_60,new_R5_full_no_sampling_optuna_tuned,8172,2272,3.8838822611110193,3.0957516001245056,9.991384054931943,5.140987182277181,0.1271608179464549,1.2814231826341835,1.2814231826341835,18.394302535649306,16.695952910118528,0,9,0,0.8818808539403827,0.128884921181027
2,301_to_700,new_R5_full_no_sampling_optuna_tuned,15559,4501,31.228208322550984,24.002347668705113,84.63402694644024,42.2855877343701,0.06702729104076678,6.04238535705403,6.04238535705403,183.08805294312282,170.32825454639385,0,0,0,0.8764573136857611,0.35832047340384177
2,61_to_300,new_R5_full_no_sampling_optuna_tuned,9696,2905,15.862905699321994,11.322729745202658,45.00547398161423,22.42305886817568,0.10089796150473475,4.114817665745602,4.114817665745602,99.34038920289214,91.60347240857071,0,0,0,0.9115247515320016,0.30476172201662644
2,701_to_1000,new_R5_full_no_sampling_optuna_tuned,5857,1951,42.88088257859244,33.2279597699619,111.92253558312082,56.755519043962614,0.05456426924449985,0.6248223898170967,0.6248223898170967,192.76808869618682,177.61391429287,0,0,0,0.7357571977522621,0.4210665123768219
2,over_1000,new_R5_full_no_sampling_optuna_tuned,1997,650,51.564832063335466,40.96428666298789,130.2496335237532,66.54061893734679,0.046660269920726645,-0.1773779777416779,-0.1773779777416779,166.7791087295074,155.44931850401827,0,0,0,0.8433658255044637,0.4497712774782261
2,up_to_60,new_R5_full_no_sampling_optuna_tuned,7890,2183,6.475375400931381,5.214955221317231,16.51664543561429,8.419476315619248,0.21424556717609322,2.623042975168132,2.623042975168132,28.560531257854624,25.837478128800875,0,16,0,0.6952538369946215,-0.09121204313439168
3,301_to_700,new_R5_full_no_sampling_optuna_tuned,15314,4486,45.83635804073272,36.57188763473343,120.77662429214641,60.656214636185716,0.10071808684097805,8.459253548661659,8.459253548661659,254.13075601389258,241.56834121266627,0,0,0,0.7684986858345139,0.24624777282237964
3,61_to_300,new_R5_full_no_sampling_optuna_tuned,9439,2840,21.458285391628678,15.659758862459483,60.21181334323303,30.303401970223298,0.1425382785965954,3.9698881082398807,3.9698881082398807,136.1235876166386,127.52820346953277,0,0,0,0.8457407225224207,0.23245013824764416
3,701_to_1000,new_R5_full_no_sampling_optuna_tuned,6198,2102,60.08518661551709,49.886514105375625,152.51111915989014,77.41785552748092,0.07879374247290992,3.843995533716695,3.843995533716695,251.49803824805912,241.93667124800396,0,0,0,0.6180195292562394,0.3699289495738891
3,over_1000,new_R5_full_no_sampling_optuna_tuned,2248,750,74.20330272281223,61.72025731752876,189.99127853439367,94.4449514171796,0.06933873403004262,9.097796860961616,9.097796860961616,232.562284977837,224.47165737042104,0,0,0,0.725518815866534,0.37469078953178303
3,up_to_60,new_R5_full_no_sampling_optuna_tuned,7635,2119,8.04575875390591,6.710678016866961,20.24452853930173,10.425117011624788,0.26825871570777976,2.9553690797868293,2.9553690797868293,35.62283453421484,32.76231855880863,0,25,0,0.5572788302948655,-0.06928279848634467
