sido,school_level,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
강원,고등학교,2025,112,112,35912.0,320.64285714285717,210.0,18,,,,3.159282172942743,0.0,0.0
강원,고등학교,2026,112,112,34605.66725326819,308.9791719041803,204.23313534449153,18,,,,3.159282172942743,-1306.3327467318086,-0.03637593970627669
강원,고등학교,2027,112,112,33681.45561197032,300.72728224973497,198.2439780748579,19,,,,3.159282172942743,-2230.5443880296807,-0.06211139418661397
강원,고등학교,2028,112,112,33303.00573278667,297.3482654713095,193.61185906860834,18,,,,3.159282172942743,-2608.994267213333,-0.07264965101396004
강원,고등학교,2029,112,112,33296.003912938264,297.28574922266307,193.84419596937744,20,,,,3.159282172942743,-2615.996087061736,-0.07284462260697638
강원,고등학교,2030,112,112,33066.673837219016,295.23815926088406,191.16176642751554,20,43.0,19.0,18.0,3.159282172942743,-2845.3261627809843,-0.07923051244099422
강원,중학교,2025,149,149,34097.0,228.83892617449663,105.0,64,,,,4.193060882363114,0.0,0.0
강원,중학교,2026,149,149,33898.062567457724,227.50377562052165,104.10581138933118,64,,,,4.193060882363114,-198.93743254227593,-0.005834455598506494
강원,중학교,2027,149,149,33271.9377297608,223.30159550175034,99.86041020333266,64,,,,4.193060882363114,-825.0622702391993,-0.024197503306425765
강원,중학교,2028,149,149,32589.80844916795,218.72354663871107,94.39875422344775,64,,,,4.193060882363114,-1507.191550832049,-0.044203054545328004
강원,중학교,2029,149,149,32205.820707268467,216.14644769978838,92.54341409333212,65,,,,4.193060882363114,-1891.1792927315328,-0.055464682896780734
강원,중학교,2030,149,149,32212.094112887447,216.18855109320435,93.02159232063332,65,54.0,62.0,62.0,4.193060882363114,-1884.9058871125526,-0.0552806958709726
강원,초등학교,2025,330,330,49259.0,149.26969696969698,50.0,193,,,,1.8509926649033732,0.0,0.0
강원,초등학교,2026,330,330,46690.46820053611,141.48626727435186,48.95236536340267,194,,,,1.8509926649033732,-2568.53179946389,-0.05214340119498751
강원,초등학교,2027,330,330,44234.334231663786,134.04343706564785,46.91899082192239,196,,,,1.8509926649033732,-5024.665768336214,-0.10200502990999033
강원,초등학교,2028,330,330,41723.30389633972,126.43425423133249,43.8467717739202,201,,,,1.8509926649033732,-7535.696103660281,-0.15298110200491852
강원,초등학교,2029,330,330,38963.70216896024,118.07182475442497,41.578751964365715,209,,,,1.8509926649033732,-10295.29783103976,-0.20900338681336933
강원,초등학교,2030,330,330,36195.808321463104,109.68426764079729,38.250183479324974,211,267.0,108.0,142.0,1.8509926649033732,-13063.191678536896,-0.2651940087808704
경기,고등학교,2025,391,391,270287.0,691.2710997442455,734.0,4,,,,0.7599229939829015,0.0,0.0
경기,고등학교,2026,391,391,261854.06072717078,669.7034801206414,708.9294373855581,4,,,,0.7599229939829015,-8432.939272829215,-0.031199944032932456
경기,고등학교,2027,391,391,254461.98260502017,650.7979094757549,680.8982764895084,5,,,,0.7599229939829015,-15825.017394979834,-0.058548940182028116
경기,고등학교,2028,391,391,252470.98886948207,645.7058538861434,674.4889201948369,6,,,,0.7599229939829015,-17816.01113051793,-0.0659151610344483
경기,고등학교,2029,391,391,251403.28895168565,642.9751635592984,673.8210433813309,6,,,,0.7599229939829015,-18883.711048314348,-0.06986540621011868
경기,고등학교,2030,391,391,249536.74707922852,638.2013991796126,669.0612057548195,6,260.0,5.0,5.0,0.7599229939829015,-20750.252920771483,-0.07677118367058527
경기,중학교,2025,564,564,290308.0,514.7304964539007,503.5,30,,,,0.6541963999032787,0.0,0.0
경기,중학교,2026,564,564,289544.07294000767,513.3760158510775,500.21594883336263,30,,,,0.6541963999032787,-763.9270599923329,-0.002631436474338747
경기,중학교,2027,564,564,286229.6096871398,507.49930795592167,485.91297178477,33,,,,0.6541963999032787,-4078.390312860196,-0.014048494402015088
경기,중학교,2028,564,564,280683.99865308276,497.66666427851555,478.8504134565478,36,,,,0.6541963999032787,-9624.00134691724,-0.03315100288974896
경기,중학교,2029,564,564,277423.79029961326,491.8861530134987,476.856298083231,38,,,,0.6541963999032787,-12884.209700386738,-0.04438117344470954
경기,중학교,2030,564,564,277343.197274822,491.7432575794716,477.96406830231786,38,240.0,31.0,36.0,0.6541963999032787,-12964.802725178015,-0.04465878558351136
경기,초등학교,2025,1082,1082,424486.0,392.31608133086877,363.0,154,,,,0.27775459764914956,0.0,0.0
경기,초등학교,2026,1082,1082,400839.8813534117,370.46199755398493,336.2945472237685,163,,,,0.27775459764914956,-23646.118646588293,-0.05570529686865596
경기,초등학교,2027,1082,1082,379059.56496547477,350.33231512520774,314.2245748003281,172,,,,0.27775459764914956,-45426.43503452523,-0.10701515488031461
경기,초등학교,2028,1082,1082,355461.2069892017,328.5223724484304,288.80172840278925,186,,,,0.27775459764914956,-69024.79301079828,-0.1626079376252651
경기,초등학교,2029,1082,1082,331265.4333194393,306.16028957434315,264.4744806663148,196,,,,0.27775459764914956,-93220.5666805607,-0.219608106464196
경기,초등학교,2030,1082,1082,308340.83071981627,284.97304133069895,241.95722016408968,210,944.0,38.0,94.0,0.27775459764914956,-116145.16928018373,-0.27361366283030236
경남,고등학교,2025,179,179,80180.0,447.9329608938547,452.0,9,,,,1.5914571636471282,0.0,0.0
경남,고등학교,2026,179,179,77565.84188506872,433.32872561490905,435.1262787580693,9,,,,1.5914571636471282,-2614.158114931284,-0.032603618295476235
경남,고등학교,2027,179,179,75342.40547445406,420.90729315337467,428.3587561664386,10,,,,1.5914571636471282,-4837.594525545937,-0.06033417966507779
경남,고등학교,2028,179,179,74580.04067926439,416.6482719511977,420.4968917974831,10,,,,1.5914571636471282,-5599.959320735608,-0.06984234623017721
경남,고등학교,2029,179,179,74443.795502695,415.8871257133799,420.5225957690693,10,,,,1.5914571636471282,-5736.204497305007,-0.07154158764411334
경남,고등학교,2030,179,179,73980.89263399802,413.3010761675867,419.2584561261926,11,95.0,11.0,11.0,1.5914571636471282,-6199.107366001976,-0.07731488358695404
경남,중학교,2025,237,237,79275.0,334.49367088607596,257.0,54,,,,2.104097137241488,0.0,0.0
경남,중학교,2026,237,237,79034.46771801554,333.4787667426816,263.5788365755967,54,,,,2.104097137241488,-240.53228198445868,-0.0030341505138373847
경남,중학교,2027,237,237,77723.31151208768,327.9464620763193,253.2172779681067,56,,,,2.104097137241488,-1551.6884879123245,-0.019573490859821185
경남,중학교,2028,237,237,76310.51101771696,321.98527855576776,250.08253298711136,56,,,,2.104097137241488,-2964.4889822830446,-0.03739500450688167
경남,중학교,2029,237,237,75335.03371260625,317.86934055952,246.22138185685048,58,,,,2.104097137241488,-3939.9662873937486,-0.04969998470380005
경남,중학교,2030,237,237,75369.28463777236,318.013859231107,244.95077113507432,58,84.0,53.0,55.0,2.104097137241488,-3905.7153622276383,-0.04926793266764602
경남,초등학교,2025,455,455,101080.0,222.15384615384616,111.0,193,,,,1.1947473093046979,0.0,0.0
경남,초등학교,2026,455,455,94246.42482475785,207.13499961485243,101.548558455876,195,,,,1.1947473093046979,-6833.575175242149,-0.0676056111519801
경남,초등학교,2027,455,455,88205.67657656316,193.85862983860034,93.9554321924956,201,,,,1.1947473093046979,-12874.323423436843,-0.12736766346890427
경남,초등학교,2028,455,455,82330.07415564393,180.94521792449217,86.17088443533635,204,,,,1.1947473093046979,-18749.92584435607,-0.1854959026944605
경남,초등학교,2029,455,455,76414.72001486114,167.9444395931014,81.042254083329,207,,,,1.1947473093046979,-24665.279985138855,-0.24401741180390638
경남,초등학교,2030,455,455,70902.81222935757,155.83035654803862,76.8185973265597,213,417.0,103.0,146.0,1.1947473093046979,-30177.187770642427,-0.2985475640150616
경북,고등학교,2025,175,175,60448.0,345.41714285714284,318.0,13,,,,3.0768754195443,0.0,0.0
경북,고등학교,2026,175,175,58960.9765761861,336.91986614963486,311.7880732197112,14,,,,3.0768754195443,-1487.023423813902,-0.024600043406132574
경북,고등학교,2027,175,175,57410.983556722465,328.06276318127124,306.3146876625751,14,,,,3.0768754195443,-3037.0164432775346,-0.05024180193352194
경북,고등학교,2028,175,175,56670.47923279282,323.83130990167325,303.1077394479531,14,,,,3.0768754195443,-3777.5207672071774,-0.062492071982649174
경북,고등학교,2029,175,175,56698.537469203744,323.99164268116425,303.6469026840704,15,,,,3.0768754195443,-3749.462530796256,-0.06202790052270143
경북,고등학교,2030,175,175,56221.973951659806,321.2684225809132,299.8009989388052,16,55.0,14.0,14.0,3.0768754195443,-4226.026048340194,-0.06991175966682428
경북,중학교,2025,244,244,55504.0,227.47540983606558,119.5,99,,,,2.945577727701181,0.0,0.0
경북,중학교,2026,244,244,55448.56319014108,227.24820979566016,114.7176761180678,99,,,,2.945577727701181,-55.43680985891842,-0.0009987894540739123
경북,중학교,2027,244,244,54501.255860436744,223.36580270670797,113.46748528649903,100,,,,2.945577727701181,-1002.7441395632559,-0.018066159908533726
경북,중학교,2028,244,244,53339.632441661975,218.60505099041794,111.25955751739849,100,,,,2.945577727701181,-2164.3675583380245,-0.038994803227479544
경북,중학교,2029,244,244,52717.709859542716,216.05618794894556,108.7593111295923,100,,,,2.945577727701181,-2786.290140457284,-0.05019980795000872
