rank,school_key,school_name,sido,sgg,school_level,student_count_2025,pred_student_count_2030,delta_2025_2030,pct_change_2025_2030,isolation_score,nearest_same_level_school_km,same_level_school_count_5km,priority_score_2030,latitude,longitude,coordinate_valid,priority_reason
114,대구|수성구|초등학교|대구용지초등학교|본교,대구용지초등학교,대구,수성구,초등학교,641.0,424.45193959434886,-216.54806040565114,-0.3378284873723107,0.019711810528834,0.5519306948073525,27.0,60.79553208288959,35.822482,128.632815,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
115,대구|수성구|초등학교|대구신매초등학교|본교,대구신매초등학교,대구,수성구,초등학교,454.0,287.90888406022543,-166.09111593977457,-0.36583946242241094,0.0197328006868889,0.5327856185460019,26.0,60.753932746708045,35.8363451697,128.7092219482,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
116,대구|달성군|초등학교|대구다사초등학교|본교,대구다사초등학교,대구,달성군,초등학교,933.0,715.2699329001896,-217.7300670998104,-0.2333655595925085,0.0578011219075429,0.9248179505206876,15.0,60.69563760684424,35.8694285387,128.4584837107,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
117,대구|동구|초등학교|대구효동초등학교|본교,대구효동초등학교,대구,동구,초등학교,54.0,12.737513627882391,-41.26248637211761,-0.7641201180021779,0.0155560802371928,0.7466918513852576,47.0,60.6316805017388,35.8840383343,128.6448212379,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
118,대구|달서구|초등학교|대구월곡초등학교|본교,대구월곡초등학교,대구,달서구,초등학교,80.0,30.67490920951792,-49.32509079048208,-0.616563634881026,0.0122574368636097,0.6006144063168771,48.0,60.32784633233335,35.8121608115,128.5492674201,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
119,대구|수성구|초등학교|대구매호초등학교|본교,대구매호초등학교,대구,수성구,초등학교,428.0,265.4582695444825,-162.5417304555175,-0.3797703982605549,0.0174356230311923,0.4881974448733864,27.0,60.306903517088735,35.8415088747,128.7121172767,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
120,대구|동구|초등학교|대구용호초등학교|본교,대구용호초등학교,대구,동구,초등학교,374.0,237.30627847920712,-136.69372152079288,-0.3654912340128152,0.0267887932280414,0.9376077629814492,34.0,60.106879883280875,35.877035,128.672416,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
121,대전|동구|초등학교|산내초등학교|본교,산내초등학교,대전,동구,초등학교,458.0,301.00568336035644,-156.99431663964356,-0.3427823507415798,0.4012459418411893,2.8087215928883253,6.0,71.28024426884735,36.279483,127.469875,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
122,대전|유성구|초등학교|대전송강초등학교|본교,대전송강초등학교,대전,유성구,초등학교,337.0,173.26705235247968,-163.73294764752032,-0.4858544440579238,0.039677703585202,0.6348432573632327,15.0,66.89123137044001,36.4344735,127.3840137,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
123,대전|서구|초등학교|기성초등학교길헌분교장|분교장,기성초등학교길헌분교장,대전,서구,초등학교,7.0,1.5917301928178365,-5.4082698071821635,-0.7726099724545948,1.0520682450927863,2.1041364901855726,1.0,66.19530454091415,36.24197900782494,127.31601595468896,True,2030 small-school and isolation conditions indicate high priority.
124,대전|동구|초등학교|산흥초등학교|본교,산흥초등학교,대전,동구,초등학교,46.0,34.016190121956335,-11.983809878043665,-0.26051760604442753,2.279958413602865,4.55991682720573,1.0,64.54658975207123,36.228731,127.448408,True,2030 small-school and isolation conditions indicate high priority.
125,대전|유성구|초등학교|구즉초등학교|본교,구즉초등학교,대전,유성구,초등학교,435.0,294.4132309418917,-140.5867690581083,-0.32318797484622597,0.0512956342682949,0.7181388797561297,13.0,62.647506221467694,36.4408318321,127.3826062252,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
126,대전|대덕구|초등학교|대전목상초등학교|본교,대전목상초등학교,대전,대덕구,초등학교,187.0,108.90325359072526,-78.09674640927474,-0.41762965994264567,0.0605086271236551,0.9681380339784816,15.0,62.523178491474155,36.445823,127.412472,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
127,대전|서구|중학교|기성중학교|본교,기성중학교,대전,서구,중학교,31.0,23.22903679448988,-7.770963205510121,-0.25067623243581033,5.281591647525659,5.281591647525659,0.0,62.45665109766162,36.249894,127.3413353,True,2030 small-school and isolation conditions indicate high priority.
128,대전|서구|초등학교|기성초등학교|본교,기성초등학교,대전,서구,초등학교,43.0,31.979090910064212,-11.020909089935788,-0.25630021139385556,1.0520682450927863,2.1041364901855726,1.0,61.828076685547785,36.2486649725,127.3379658115,True,2030 small-school and isolation conditions indicate high priority.
129,대전|유성구|초등학교|금성초등학교|본교,금성초등학교,대전,유성구,초등학교,385.0,253.92144959677023,-131.07855040322977,-0.34046376728111627,0.0533493929931382,1.600481789794148,29.0,61.660171319758284,36.389311,127.3500432,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
130,대전|유성구|초등학교|진잠초등학교|본교,진잠초등학교,대전,유성구,초등학교,351.0,229.41580188001365,-121.58419811998635,-0.346393726837568,0.036695799392667,0.7339159878533409,19.0,61.2416475225746,36.2994828,127.315107,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
131,대전|유성구|초등학교|대전상지초등학교|본교,대전상지초등학교,대전,유성구,초등학교,524.0,336.76090970006726,-187.23909029993274,-0.3573265082059785,0.0220646682163268,0.7281340511387848,32.0,61.15305437362621,36.3756534,127.3222212,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
132,대전|대덕구|초등학교|새일초등학교|본교,새일초등학교,대전,대덕구,초등학교,168.0,106.3304336811347,-61.66956631886529,-0.3670807518980077,0.0943260622259839,1.6978691200677114,17.0,60.70962393254593,36.4316912,127.4196604,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
133,대전|서구|초등학교|대전선유초등학교|본교,대전선유초등학교,대전,서구,초등학교,906.0,618.7018781402439,-287.29812185975607,-0.31710609476794266,0.0195852642604538,0.5092168707718007,25.0,60.60136693566771,36.2946239,127.3414289,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
134,대전|유성구|초등학교|대전지족초등학교|본교,대전지족초등학교,대전,유성구,초등학교,438.0,293.41437581652065,-144.58562418347935,-0.3301041648024643,0.0296379771824297,0.7409494295607449,24.0,60.00370933465496,36.3809931,127.3172701,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
135,대전|서구|초등학교|가수원초등학교|본교,가수원초등학교,대전,서구,초등학교,317.0,189.2734902920758,-127.72650970792421,-0.4029227435581205,0.0238533658598682,0.9779880002545974,40.0,59.7102867242296,36.303168,127.353361,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
136,대전|유성구|초등학교|대전대정초등학교|본교,대전대정초등학교,대전,유성구,초등학교,293.0,189.78495734210145,-103.21504265789855,-0.35226977016347627,0.0395658907248367,1.1869767217451035,29.0,59.577137038986784,36.315302,127.323208,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
137,대전|유성구|초등학교|대전노은초등학교|본교,대전노은초등학교,대전,유성구,초등학교,784.0,541.2037915717624,-242.7962084282376,-0.309689041362548,0.0220646682163268,0.7281340511387848,32.0,59.47044484617261,36.3691809,127.3209877,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
138,대전|대덕구|초등학교|대전새여울초등학교|본교,대전새여울초등학교,대전,대덕구,초등학교,989.0,718.3812863405592,-270.6187136594408,-0.2736286285737521,0.0199451664104312,0.299177496156469,14.0,59.1723733048627,36.4517166,127.4230166,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
139,대전|유성구|초등학교|대전계산초등학교|본교,대전계산초등학교,대전,유성구,초등학교,720.0,546.368199976791,-173.63180002320905,-0.24115527781001259,0.0616090006034565,1.5402250150864132,24.0,58.938818691393514,36.343927,127.299229,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
140,대전|유성구|초등학교|대전하기초등학교|본교,대전하기초등학교,대전,유성구,초등학교,394.0,270.7429070596216,-123.25709294037841,-0.31283526126999595,0.0350712968245353,0.7715685301397773,21.0,58.839181729230795,36.3886457,127.3217309,True,"Priority reflects projected decline, percentage decline, isolation, and nearby same-level school scarcity."
