sido,sgg,year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
강원,강릉시,2025,58,58,17163.0,295.91379310344826,212.0,15,,,,1.0251904139923946,0.0,0.0
강원,강릉시,2026,58,58,16549.54035954157,285.3369027507167,197.33846550733105,15,,,,1.0251904139923946,-613.4596404584299,-0.03574314749510167
강원,강릉시,2027,58,58,15989.563777162599,275.68213408901033,185.68754657577455,15,,,,1.0251904139923946,-1173.4362228374011,-0.06837011145122654
강원,강릉시,2028,58,58,15457.61655329661,266.5106302292519,174.32292105634303,15,,,,1.0251904139923946,-1705.3834467033903,-0.09936394841830626
강원,강릉시,2029,58,58,15021.016736113426,258.9830471743694,162.96976408429413,18,,,,1.0251904139923946,-2141.9832638865737,-0.12480238092912507
강원,강릉시,2030,58,58,14642.014146942309,252.4485197748674,154.79028282594055,18,39.0,8.0,11.0,1.0251904139923946,-2520.985853057691,-0.14688491831601067
강원,고성군,2025,19,19,1447.0,76.15789473684211,39.0,13,,,,3.290268088141074,0.0,0.0
강원,고성군,2026,19,19,1408.1298692498042,74.11209838156864,39.683136928406775,14,,,,3.290268088141074,-38.87013075019581,-0.026862564443811895
강원,고성군,2027,19,19,1344.6704628254934,70.77212962239439,36.2305010237298,14,,,,3.290268088141074,-102.32953717450664,-0.07071840855183596
강원,고성군,2028,19,19,1312.0741750869197,69.05653553089051,36.65367035264613,15,,,,3.290268088141074,-134.9258249130803,-0.09324521417628218
강원,고성군,2029,19,19,1253.2457625502514,65.9603032921185,34.04432813300233,15,,,,3.290268088141074,-193.75423744974864,-0.13390064785746278
강원,고성군,2030,19,19,1202.0029831827703,63.263314904356335,30.789253374083664,15,9.0,9.0,10.0,3.290268088141074,-244.99701681722968,-0.169313764213704
강원,동해시,2025,26,26,8073.0,310.5,261.0,4,,,,0.2409274182674936,0.0,0.0
강원,동해시,2026,26,26,7835.359524640256,301.3599817169329,256.75152343508256,3,,,,0.2409274182674936,-237.6404753597444,-0.02943645179731753
강원,동해시,2027,26,26,7607.740465668447,292.6054025257095,255.15748187922944,3,,,,0.2409274182674936,-465.25953433155337,-0.05763155386244932
강원,동해시,2028,26,26,7387.066718121761,284.1179506969908,250.41942159827747,4,,,,0.2409274182674936,-685.9332818782386,-0.08496634236073809
강원,동해시,2029,26,26,7195.577606274395,276.7529848567075,247.98319717822568,4,,,,0.2409274182674936,-877.4223937256047,-0.1086860391088325
강원,동해시,2030,26,26,7005.148134123044,269.42877438934784,245.5487497572583,4,11.0,0.0,1.0,0.2409274182674936,-1067.8518658769563,-0.13227447861723723
강원,삼척시,2025,35,35,4414.0,126.11428571428571,37.0,20,,,,3.726375578131494,0.0,0.0
강원,삼척시,2026,35,35,4219.98421032283,120.57097743779515,34.749005040499284,20,,,,3.726375578131494,-194.01578967716978,-0.043954641974891205
강원,삼척시,2027,35,35,4056.044643295898,115.88698980845423,35.88481822593171,22,,,,3.726375578131494,-357.9553567041021,-0.0810954591536253
강원,삼척시,2028,35,35,3923.3337995274474,112.09525141506992,32.655799478970565,22,,,,3.726375578131494,-490.66620047255265,-0.11116135035626476
강원,삼척시,2029,35,35,3785.1856917038845,108.14816262011098,31.47406649060207,23,,,,3.726375578131494,-628.8143082961155,-0.1424590639547158
강원,삼척시,2030,35,35,3635.9886299069003,103.88538942591144,27.788012034227798,23,26.0,14.0,15.0,3.726375578131494,-778.0113700930997,-0.1762599388520842
강원,속초시,2025,19,19,7398.0,389.36842105263156,490.0,2,,,,0.24013965555650216,0.0,0.0
강원,속초시,2026,19,19,7176.727637269014,377.72250722468493,496.5374871779613,2,,,,0.24013965555650216,-221.27236273098606,-0.029909754356716146
강원,속초시,2027,19,19,6905.730905644947,363.459521349734,490.5520267746198,2,,,,0.24013965555650216,-492.2690943550533,-0.0665408345978715
강원,속초시,2028,19,19,6664.322621025759,350.7538221592505,477.2819400153557,2,,,,0.24013965555650216,-733.677378974241,-0.09917239510330374
강원,속초시,2029,19,19,6472.262894504664,340.64541550024546,460.9471122734295,2,,,,0.24013965555650216,-925.7371054953364,-0.12513342869631475
강원,속초시,2030,19,19,6319.602167228686,332.61064038045714,431.99393273424135,2,14.0,0.0,0.0,0.24013965555650216,-1078.397832771314,-0.14576883384310813
강원,양구군,2025,18,18,1982.0,110.11111111111111,52.5,10,,,,2.821175461110209,0.0,0.0
강원,양구군,2026,18,18,1952.0363815027451,108.44646563904139,51.29369774596037,10,,,,2.821175461110209,-29.963618497254856,-0.015117870079341502
강원,양구군,2027,18,18,1883.4174922167094,104.63430512315053,51.90529081104893,10,,,,2.821175461110209,-98.58250778329057,-0.04973890402789635
강원,양구군,2028,18,18,1839.4724856389248,102.19291586882916,50.594277481483935,10,,,,2.821175461110209,-142.5275143610752,-0.07191095578258082
강원,양구군,2029,18,18,1764.5512475891242,98.03062486606245,46.215449549482614,10,,,,2.821175461110209,-217.44875241087584,-0.10971178224564876
강원,양구군,2030,18,18,1697.0546516997138,94.28081398331743,43.79609055956561,11,12.0,6.0,8.0,2.821175461110209,-284.94534830028624,-0.1437665733099325
강원,양양군,2025,18,18,886.0,49.22222222222222,35.5,17,,,,3.4751963293908945,0.0,0.0
강원,양양군,2026,18,18,863.4892250928268,47.971623616268154,33.29076969697299,17,,,,3.4751963293908945,-22.510774907173186,-0.02540719515482301
강원,양양군,2027,18,18,808.5373701671315,44.91874278706286,28.638882454315166,17,,,,3.4751963293908945,-77.46262983286852,-0.08742960477750397
강원,양양군,2028,18,18,758.0340410258348,42.11300227921304,26.85306020381104,17,,,,3.4751963293908945,-127.96595897416523,-0.14443110493698108
강원,양양군,2029,18,18,698.4189253078948,38.80105140599416,25.314939846571043,17,,,,3.4751963293908945,-187.58107469210518,-0.21171678859154083
강원,양양군,2030,18,18,650.9263947282375,36.16257748490208,24.607276636023276,17,11.0,9.0,14.0,3.4751963293908945,-235.07360527176252,-0.26532009624352426
강원,영월군,2025,28,28,2425.0,86.60714285714286,39.5,20,,,,3.963949643211858,0.0,0.0
강원,영월군,2026,28,28,2334.4209426238053,83.37217652227876,39.506475487891805,20,,,,3.963949643211858,-90.57905737619467,-0.03735218860874007
강원,영월군,2027,28,28,2242.9430575087713,80.10510919674184,37.799439715249804,20,,,,3.963949643211858,-182.0569424912287,-0.07507502783143452
강원,영월군,2028,28,28,2150.1850267333557,76.79232238333414,36.54514422675122,20,,,,3.963949643211858,-274.8149732666443,-0.11332576217181209
강원,영월군,2029,28,28,2068.7678638154625,73.88456656483795,34.713416103088704,20,,,,3.963949643211858,-356.23213618453747,-0.14689984997300515
강원,영월군,2030,28,28,1995.8920366106302,71.28185845037964,32.80628199580929,20,15.0,17.0,17.0,3.963949643211858,-429.10796338936984,-0.1769517374801525
