year,school_count,valid_coordinate_school_count,total_student_count,mean_student_count,median_student_count,small_school_count,decline_pressure_school_count,isolated_small_school_count,education_gap_risk_school_count,mean_isolation_score,total_delta_from_2025,pct_change_from_2025
2025,10454,10453,3837653.0,367.0990051654869,322.5,2315,,,,1.1852389933273761,0.0,0.0
2026,10454,10453,3707482.8409330333,354.6472968177763,308.67967202895613,2350,,,,1.1852389933273761,-130170.15906696673,-0.033919210274343914
2027,10454,10453,3577110.9101512833,342.1762875599085,295.6408723081559,2409,,,,1.1852389933273761,-260542.08984871674,-0.06789099740094186
2028,10454,10453,3456614.6223479593,330.6499543091601,281.4526764062281,2478,,,,1.1852389933273761,-381038.3776520407,-0.09928942967278195
2029,10454,10453,3348933.988512926,320.34953018107194,269.5842115395251,2564,,,,1.1852389933273761,-488719.0114870742,-0.1273484109915811
2030,10454,10453,3257211.8419410978,311.57564969782834,256.59480893116415,2622,7062.0,1455.0,1847.0,1.1852389933273761,-580441.1580589022,-0.15124899464826608
